school_id	cluster	cluster_weight
3	MR1	1.284415873281313
3	MR2	3.092312645295722
3	MR3	2.3838043196197445
3	MR4	2.3809165734918594
8	MR1	8.016746215885082
8	MR2	10.299552957145885
8	MR3	4.229084724827929
8	MR4	7.0551804720343725
10	MR1	0.18500977047913236
10	MR2	3.6559946214752155
10	MR3	2.1763916749389116
10	MR4	2.5051244138589994
15	MR1	6.013062148474511
15	MR2	11.08364148636254
15	MR3	5.890672697114014
15	MR4	7.352705321581001
22	MR1	4.514934390990642
22	MR2	11.354588534172203
22	MR3	6.074762486510339
22	MR4	5.5481378699069825
24	MR1	5.091110206662506
24	MR2	9.35963129776362
24	MR3	6.669418040052447
24	MR4	7.446323081186898
26	MR1	6.793206299841925
26	MR2	8.995300105522164
26	MR3	8.254113537411726
26	MR4	6.796939362120387
27	MR1	5.63289705088314
27	MR2	7.946207843424375
27	MR3	3.611278918066412
27	MR4	3.387242411092403
37	MR1	0.16983723542540452
37	MR2	3.0371891008190133
37	MR3	0.15104405723032482
37	MR4	0.9073333888690653
38	MR1	5.089393088259234
38	MR2	9.747048720597327
38	MR3	3.850872105610466
38	MR4	6.215251060522204
41	MR1	4.491181522934559
41	MR2	6.751046213629274
41	MR3	5.138124377867223
41	MR4	4.090739445694197
44	MR1	4.26596786794353
44	MR2	7.470742228780151
44	MR3	6.049876908437897
44	MR4	2.8080207068162895
47	MR1	4.418844140701866
47	MR2	7.7072648479658215
47	MR3	3.7235600569745557
47	MR4	5.8923147191822585
52	MR1	6.214699933921291
52	MR2	5.346000180832529
52	MR3	6.145417258020222
52	MR4	5.726240502629155
58	MR1	0.3108156639169973
58	MR2	2.587790397445809
58	MR3	0.15298505509729252
58	MR4	1.32918636531777
63	MR1	5.357150142750856
63	MR2	10.540893614745084
63	MR3	5.0293680197574995
63	MR4	7.445711360490492
64	MR1	4.8028414721605115
64	MR2	11.68949000193141
64	MR3	6.443427376563171
64	MR4	8.499285737355768
70	MR1	3.6410873019981524
70	MR2	10.374469265303802
70	MR3	3.380129625411658
70	MR4	4.599992430472598
71	MR1	3.006546524265736
71	MR2	6.423160290902399
71	MR3	4.725270823861442
71	MR4	3.859542125172664
76	MR1	5.427289561297223
76	MR2	9.77653732342441
76	MR3	6.089338423353856
76	MR4	4.739830187457229
79	MR1	6.0903790448924795
79	MR2	8.724445629860423
79	MR3	5.242860049979588
79	MR4	6.572741857574337
80	MR1	7.046560632235756
80	MR2	11.105225840982012
80	MR3	3.816589527175252
80	MR4	7.213356260421987
81	MR1	2.038774775920137
81	MR2	7.974247969754728
81	MR3	2.534655387935081
81	MR4	5.30254299031935
83	MR1	3.58044859507873
83	MR2	4.355982228203354
83	MR3	2.340473304147495
83	MR4	6.566072519266977
84	MR1	6.435300055877051
84	MR2	8.091751408140674
84	MR3	5.425721100562309
84	MR4	6.478388469894939
85	MR1	3.5140867610230924
85	MR2	9.879778373546172
85	MR3	2.2343288695834547
85	MR4	6.378489736707094
91	MR1	3.4972943051559477
91	MR2	9.435570465421275
91	MR3	3.5081341371236108
91	MR4	6.555093567737753
97	MR1	3.739002859904674
97	MR2	3.897316442396281
97	MR3	2.8895445414597782
97	MR4	4.0173371825065205
98	MR1	5.098213369383922
98	MR2	9.764571817683958
98	MR3	3.6342348065521395
98	MR4	7.7475289982457705
101	MR1	3.8575413878315046
101	MR2	7.506745717041318
101	MR3	1.3468856098402726
101	MR4	3.695529273688747
105	MR1	4.247942372398423
105	MR2	2.3411892944325308
105	MR3	4.847169572340646
105	MR4	5.801738609897766
109	MR1	0.555932882608055
109	MR2	5.6113259835733995
109	MR3	2.572906839601984
109	MR4	2.0815932728942226
120	MR1	3.820935143754446
120	MR2	7.6425559582516485
120	MR3	1.8384805191486921
120	MR4	4.975181732663834
122	MR1	4.430355753280725
122	MR2	7.710358100850576
122	MR3	5.811753270259237
122	MR4	7.584641929776342
132	MR1	4.686175174367107
132	MR2	9.066877638880834
132	MR3	4.757898186113932
132	MR4	7.235940849561607
138	MR1	2.908651609011561
138	MR2	7.510642460195422
138	MR3	2.9063269948649304
138	MR4	3.046517538827273
139	MR1	5.304296924449613
139	MR2	7.069277461086897
139	MR3	5.724069795093751
139	MR4	5.760295490547214
140	MR1	5.260045352019066
140	MR2	10.6131583971852
140	MR3	8.030885229870202
140	MR4	7.37376340198056
141	MR1	6.341961997816641
141	MR2	8.582061535568416
141	MR3	6.53434613597643
141	MR4	7.963129753281075
144	MR1	2.945774621065827
144	MR2	5.0842625766905
144	MR3	1.5989624034334007
144	MR4	5.553267725039177
150	MR1	6.967546715465844
150	MR2	11.553943240589678
150	MR3	7.706137785992004
150	MR4	9.900203810554812
165	MR1	4.60169856523491
165	MR2	8.34766473922801
165	MR3	7.294728412134948
165	MR4	5.811319523376128
167	MR1	4.6028395318299555
167	MR2	10.88622606119852
167	MR3	5.044237684574082
167	MR4	7.648853243685931
172	MR1	3.5880854875884123
172	MR2	8.292256996392315
172	MR3	5.038084384161627
172	MR4	6.523808312280175
180	MR1	7.2262320584646345
180	MR2	8.638108673679222
180	MR3	3.1730493121754946
180	MR4	3.7610387464507262
189	MR1	2.5754346564963684
189	MR2	12.080522208040385
189	MR3	5.006657168546094
189	MR4	6.479128824029538
191	MR1	0.3870238683748218
191	MR2	4.704828357908833
191	MR3	2.0969621532973357
191	MR4	0.46344831449965357
201	MR1	4.340057928243518
201	MR2	8.445978502659381
201	MR3	8.063539178785419
201	MR4	6.580049341651562
208	MR1	0.5712341896905639
208	MR2	1.5952620698185214
208	MR3	1.1505311641526175
