Variable	MR2	MR3	MR1	MR4	Complexity	Uniqueness
practices_social_justice	0.6646227663318511	-0.015724779913829867	0.11334447524374412	-0.21218698595887342	1.266224424222382	0.5403628534763945
practices_culturally_responsive	0.6004666804052482	-0.07199354370986544	-0.03584905627153986	0.023072250630314747	1.0389783475261887	0.6513789024552072
practices_anti_racist	0.5843028612179679	-0.040850414502995216	0.056806629301521555	-0.15234329476340444	1.165892924856274	0.6634617013373894
practices_restorative	0.582860254213565	-0.09459384618489844	0.05513141059090572	0.0803959274002434	1.1103113272564245	0.63884874449003215
practices_hiring_equity	0.5594961297266782	-0.042795457604893325	-0.06647101946722103	0.034191157949694795	1.0477020413704483	0.6946716997144144
practices_design_marginalized	0.467534799272114	0.04490365247031134	0.04866621715644735	0.14147439893662112	1.2251876496318392	0.7090947985438706
practices_trauma_informed	0.42491399143040026	-4.6245409126127734e-4	-0.11490324869445909	0.2378105992477564	1.7417739677578765	0.7384235425687158
practices_all_courses_designed_for_inclusion	0.4013143191067355	0.07888089394217154	0.14871778207817626	0.042003302058848044	1.3805091830992062	0.7605189402742923
practices_mental_health	0.3782248748727691	0.1528378380506383	-0.2742618529622699	0.11275452797231357	2.411211981597168	0.7637667339440013
practices_teachers_leaders	0.35687784983980775	0.2659200823022937	0.15734138866420505	0.055582970883671576	2.3365999998512104	0.6813744058395903
practices_sel_integrated	0.3469681665194511	-0.09194523448352221	0.06230593050527621	0.21055548429328935	1.894769743366784	0.8074088674287785
practices_physical_well_being	0.3421061247044685	0.08008476265233198	-0.13603896795403403	0.19255428733812502	2.0738440752907197	0.8080825291567765
practices_co_leaders	0.33166347263144214	0.2458852605500918	0.20432613686119888	0.0941883364039929	2.7806895818646806	0.6712126570787322
practices_advisories	0.331316628410314	0.23284010618694984	0.11821529080800072	0.03547358139153754	2.1150983834456754	0.7551340006939491
practices_adult_wellness	0.3202561922560886	-1.1694548964306852e-4	-0.205757058666261	-0.012688346666358244	1.7091568505764732	0.8780601734153551
practices_reallocation_resources	0.275664660167832	0.18053321442384782	-0.10545141612906593	0.2707591046509993	3.0202184961678378	0.7636476886251632
practices_student_conferences	0.2578563787460237	-0.020633203298045705	0.2138621472910921	0.11893527545275853	2.3950020660045133	0.8382062622752089
practices_udl	0.24869409912915375	-0.08211918837868706	0.1355743725485297	0.1558261986961108	2.5796334903098024	0.8736660160791488
practices_families_leaders	0.21934600125493742	0.11837274359586372	0.0559320891231556	-0.007834178127904587	1.6922095034644784	0.9187882644872402
practices_sel_curriculum	0.2156335864994149	-0.14340838439117395	-0.015608147711521865	0.10678299809423165	2.281793759200916	0.9330863247618804
practices_career_prep	0.01941967026016162	0.7183982149692071	-0.024343448750628424	-0.02388299639047234	1.0059741779406912	0.4933277202481421
practices_industry_credentials	-0.2055328102578686	0.707838447744046	0.05129473427421283	-0.08402751238237202	1.2091882451694702	0.5164768355015457
practices_assessments_career	-0.03880877158949422	0.6460130804156623	-0.06071234892434446	0.16093943796177776	1.15002757353984	0.531257343871278
practices_community_partnerships	0.11862353822153392	0.5336672889523504	0.03555517642481902	-0.017702958960815807	1.110180987036263	0.6710167710763366
practices_extended_learning	0.03260572591884724	0.5304103963081941	0.01508759736040989	0.04494223933957618	1.0236051537595003	0.6921322540695356
practices_early_college	-0.06781208608421456	0.4956933450348203	0.03192372696891491	-0.05585978405614547	1.0718212274033858	0.7656748038932666
practices_industry_leaders	0.037952544324850346	0.40886162122922787	0.031817573990537584	0.054705535713844476	1.065750826520091	0.802535373383984
practices_community_leaders	0.17523281747125	0.36788622913414065	-0.07989741307560139	0.06358708945788048	1.6122073174810405	0.8019368336721129
practices_students_leaders	0.234014332103144	0.2977154915146277	0.11814842916547258	0.1371519369698052	2.721459924279209	0.7329647503021298
practices_a_la_carte	7.882077047504203e-4	0.2901964138560972	0.0034214269220881888	0.15832672751093285	1.54721989822026	0.8667557502212272
practices_service_learning	0.11257518489515485	0.27651591866411873	0.11743103150614104	0.13023626594480744	2.216365194847195	0.8197724060815385
practices_enriched_virtual	-0.11935782175064588	0.25577159056631354	-0.08130771050745772	0.21941316886662632	2.6400297191019897	0.8716398179004059
practices_flexible_staffing	0.06631999062702727	0.21700184327955327	0.20895804231645226	0.11037152044741645	2.6843675476595994	0.8389357092452632
practices_interdisciplinary	0.2693480283559212	0.14512238324024562	0.5298441340645578	-0.029597345444618284	1.6657649947646358	0.5383703980919157
practices_assessments_bilingual	0.25663791565803445	0.1931187953395187	-0.47021706155656856	-0.027728995910148657	1.9343084881463022	0.7370278369631588
practices_competency_education	0.043718716239279976	0.029643546128931553	0.42198870886947043	0.28516741352338204	1.7934941392566575	0.6708047331024908
practices_multi_age	-0.044753458652398055	0.21443984016727824	0.40381818115158397	0.0198863219136568	1.5573486145325923	0.7558783363075636
practices_design_thinking	0.0724888321006436	0.08118641600436965	0.39707145433005875	0.07707627695987032	1.2330757010837528	0.7814444099926461
practices_makerspace	-0.09769113358347728	0.07879959510856045	0.3824210844133055	0.041810727700668265	1.245928407886051	0.8327280946977547
practices_community_supports	0.3467461375403003	0.06137072063317735	-0.3733412823385517	0.16146176268196227	2.4230421311431884	0.753166927501596
practices_pbl	0.228833376948108	0.22025073390112537	0.36512301857182683	-0.12958410085229688	2.721018480693967	0.7094330988985635
practices_elimination_tracking	0.2824286878606511	0.07942454066523874	0.36272639835957055	-0.05752810312016765	2.0578508254986367	0.7391117146700152
practices_dual_language	0.17054156267930162	0.1302907451351571	-0.3600949204111568	-0.07835945225155011	1.8390321594352308	0.8504714098508918
practices_assessments_deeper	0.09859761735832466	-0.05103104051543345	0.34748175508989015	0.22275939171433917	1.9469601931966651	0.7832176249874989
practices_place_based	0.23444600243801078	0.22839850860469652	0.3438239744642179	-0.033413182311353845	2.6008712114177084	0.7020914435893523
practices_student_projects	0.10600022525074025	0.21544448263635219	0.3360408413031394	0.01657947045969327	1.941789629746106	0.7719386497443904
practices_competency_framework	0.10280041648167769	0.08903117740217982	0.33517265468999696	0.2611095845360397	2.2705867681129126	0.7174245811005362
practices_opportunities_mastery	0.11351840917376904	-0.02120458937909032	0.3092626153281052	0.26503461022635755	2.2544010144831756	0.7727816076429112
practices_translanguaging	0.2969717622154997	0.11338294963960634	-0.3065156545535331	-0.09190788073508879	2.4576645872797775	0.8347078977075054
practices_performance_assessment	0.16525572111768203	0.2225097847856806	0.30582569080607813	0.07002103936049257	2.566102745075253	0.7430888224529997
practices_assessments_agency	-0.008268231504580807	0.05242438206206363	0.27891828268469726	0.15403789356589617	1.6438625871847994	0.8703334961422715
practices_heritage_language	0.17966080743894272	0.2163720417240682	-0.26327761625601803	-0.11536802065300081	3.183436937798764	0.8731140417581935
practices_learning_paths	0.02210928211787347	0.23390059497054405	0.25238862209550766	0.21711524783076802	2.972928439041551	0.7560549176549994
practices_flex	-0.20787714849427869	0.08316124356727193	0.010551908066703891	0.5105405335614485	1.3836428036755135	0.7131518708094813
practices_blended_learning	-0.1626776492666268	0.1847184605673446	0.01733042853742084	0.49171443489544453	1.5186085473766364	0.6899992092876784
practices_interoperability	0.11072545300907752	-0.094597355337881	0.0396789616089199	0.41827467960917436	1.2677617529352645	0.8024842898399576
practices_station_rotation	-0.0411927320965713	-0.19601333446819685	-0.06570947511174732	0.41014014181770564	1.5177677113705816	0.8348938231486919
practices_advancement_mastery	0.017322331942003777	-0.06970361863479614	0.2840246769897323	0.39281149326453835	1.900527246497074	0.7361045659120018
practices_student_data	0.13622963480631958	0.09931917526062765	0.04378740681433864	0.3901365921162775	1.4112725737694825	0.7619791273231612
practices_student_pace	-0.09736114719870967	0.13059845004786058	0.2794532958735711	0.365542242670823	2.332666965827622	0.7107661796202324
practices_flipped_classroom	-0.05894458321826461	0.13207996901585553	0.04980527230437201	0.3527580075135834	1.3826527272725555	0.8310699621763264
practices_grading_mastery	0.16481747419633047	-0.05906864143643094	0.2144265907931387	0.34661813421392135	2.2383749119983944	0.7607581937577801
practices_tutoring	6.821255210380517e-4	0.1576814782723	-0.28756231157607925	0.32217702985644614	2.4503580504773903	0.8179242268259302
practices_mentoring	0.2649792620414392	0.09250912637552516	0.017781129687443734	0.31409209960030793	2.143889945746266	0.7619226807968086
practices_student_goals	0.2214762516338712	0.022202757482819628	0.30292443113875717	0.3105320994881862	2.8083360148078476	0.6690351044715617
practices_assessments_sel	0.29093867322460365	-0.0759640224032072	0.033675918788030626	0.2917200782740511	2.160810647589191	0.8048332717445399
practices_disaggregated_participation_data	0.24519970390586737	-0.026358293841849643	-0.18999284127253324	0.27754259608367676	2.788166640647708	0.8401530757055167
practices_expanded_open_hours	0.03450705263249373	0.12333213036930896	-0.05194557509483961	0.27407645672188885	1.508982592163407	0.8922907011649477
practices_accommodations	0.15544419052445824	0.12045297634957623	0.18723518594132826	0.23079650030948134	3.3180130358754734	0.8018250379645152
practices_flexible_facilities	-5.29088212253349e-4	0.191252866697836	0.1902864590298657	0.22205442425601932	2.9343104164000673	0.824690663939256
practices_mtss_academics	0.18276277235723257	-0.04157494649998901	-0.1547669143198785	0.1879787351169811	3.0312283168458563	0.9173333622427707
practices_peer_to_peer	0.15756466252643675	0.062131137497258314	0.13258611198324013	0.1724865465172193	3.1656243431953963	0.8849874891774459
practices_other_leaders	0.08218257458015144	0.030994089923287577	0.014141767186035312	-0.08816482916490787	2.300037182020265	0.9873436551231006
